# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesWriteMs,1778784241038000000,1778784295477000000,0
DirectByteBufferAllocator.misses,1778784241038000000,1778784295477000000,193
FilePageCache.uncachedFileAccess,1778784241038000000,1778784295477000000,331
StorageLockContext.competingThreads.avg,1778784241038000000,1778784295477000000,0.0
FilePageCache.maxCacheSizeInBytes,1778784241038000000,1778784295477000000,202375168
FilePageCacheLockFree.totalHeapBytesReclaimed,1778784241038000000,1778784295477000000,0
MappedFileStorage.totalBytesMapped,1778784241038000000,1778784295477000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1778784241038000000,1778784295477000000,0
StorageLockContext.competingThreads.max,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1778784241038000000,1778784295477000000,0
jps.global.get.libraries.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.instances.count,1778784241038000000,1778784295477000000,2
jps.global.initialize.library.bridges.after.loading.ms,1778784241038000000,1778784295477000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1778784241038000000,1778784295477000000,0
jps.load.initial.state.ms,1778784241038000000,1778784295477000000,29
workspaceModel.do.save.caches.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1778784241038000000,1778784295477000000,0
jps.global.get.library.by.name.ms,1778784241038000000,1778784295477000000,0
jps.library.entities.serializer.load.entities.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1778784241038000000,1778784295477000000,0
jps.library.entities.serializer.save.entities.ms,1778784241038000000,1778784295477000000,0
jps.global.handle.changed.events.ms,1778784241038000000,1778784295477000000,0
jps.save.global.entities.ms,1778784241038000000,1778784295477000000,0
jps.app.storage.content.reader.load.component.ms,1778784241038000000,1778784295477000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1778784241038000000,1778784295477000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1778784241038000000,1778784295477000000,0
jps.global.get.library.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1778784241038000000,1778784295477000000,7
workspaceModel.load.cache.metadata.from.file.ms,1778784241038000000,1778784295477000000,0
workspaceModel.global.updates.count,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.entities.ms,1778784241038000000,1778784295477000000,3
workspaceModel.global.updates.ms,1778784241038000000,1778784295477000000,0
workspaceModel.global.apply.state.to.project.ms,1778784241038000000,1778784295477000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1778784241038000000,1778784295477000000,0
workspaceModel.save.cache.to.file.ms,1778784241038000000,1778784295477000000,0
jps.global.handle.before.change.events.ms,1778784241038000000,1778784295477000000,0
jps.global.initialize.library.bridges.ms,1778784241038000000,1778784295477000000,0
workspaceModel.load.cache.from.file.ms,1778784241038000000,1778784295477000000,0
workspaceModel.sync.entities.ms,1778784241038000000,1778784295477000000,0
